No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;8992907952327;SARI ROTI SANDWICH COKLAT;;;;;4;PCS;5.400;0;21.600;
2;8992907952334;SARI ROTI SANDWICH KRIM KEJU;;;;;2;PCS;5.400;0;10.800;
3;8992907996741;SARI ROTI SANDWICH ZUPERR CHOCO;;;;;1;PCS;4.500;0;4.500;
4;8992907996758;SARI ROTI SANDWICH ZUPERR MOCHA;;;;;1;PCS;4.500;0;4.500;
5;8992907000813;SARI ROTI SANDWICH ZUPER STRAW;;;;;2;PCS;4.500;0;9.000;
6;8992907000554;SARI ROTI KRIM ZUPER CHOCO;;;;;1;PCS;4.500;0;4.500;
7;8992907000561;SARI ROTI KRIM ZUPER STRAW;;;;;2;PCS;4.500;0;9.000;
8;8992907952549;SARI ROTI DORAYAKI COKLAT;;;;;2;PCS;5.400;0;10.800;
9;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;1;PCS;5.400;0;5.400;
10;8992907000806;SARI ROTI DORAYAKI PANDAN;;;;;2;PCS;5.400;0;10.800;
11;8992907996413;SARI ROTI SOBEK DUO COK KEJ;;;;;1;PCS;10.000;0;10.000;
12;8992907780012;SARI ROTI KASUR KEJU;;;;;2;PCS;12.250;0;24.500;
13;8992907996321;SARI ROTI KASUR KLASIK;;;;;1;PCS;10.500;0;10.500;
1;8997220410851;KIN YOGHURT SLIMBERRIES 200 ML;;;;;5;PCS;6.320;0;31.600;
1;02222001;SNACK MAKARONI DLL BR 5000;;;;;4;PCS;4.000;0;16.000;
1;0369;KRUPUK RDN BESAR;;;;;8;PCS;4.000;0;32.000;
2;875692692150;KRUPUK RDN KECIL;;;;;4;PCS;1.600;0;6.400;
1;8997021220253;PRONAS ABON SAPI BW GORENG 110 GR;;;;;2;PCS;30.607;0;61.214;
2;8997021220154;PRONAS ABON SAPI 110G;;;;;2;PCS;30.607;0;61.214;
3;8992804119816;PRONAS CORNED BEEF 198G;;;;;2;PCS;22.171;0;44.342;
4;8992804900643;PRONAS CORNED BEEF KORNETKU 200G;;;;;1;PCS;15.941;0;15.941;
5;8992804900650;PRONAS CORNED BEEF KORNETKU 340G;;;;;2;PCS;21.386;0;42.772;
6;8992820115519;PRONAS SARDEN TOMAT 155G;;;;;1;PCS;10.448;0;10.448;
7;8992804900568;PRONAS SARDEN PEDAS 155G;;;;;1;PCS;10.448;0;10.448;
1;8992907953287;SARI ROTI TAWAR KUPAS JUMBO;;;;;1;PCS;18.500;0;18.500;
2;8992907996758;SARI ROTI SANDWICH ZUPERR MOCHA;;;;;3;PCS;4.500;0;13.500;
3;8992907996765;SARI ROTI SANDWICH ZUPERR SWEET;;;;;2;PCS;4.500;0;9.000;
4;8992907000813;SARI ROTI SANDWICH ZUPER STRAW;;;;;3;PCS;4.500;0;13.500;
5;8992907420017;SARI ROTI KRIM COKLAT;;;;;1;PCS;4.500;0;4.500;
6;8992907952143;SARI ROTI KRIM KEJU;;;;;1;PCS;4.500;0;4.500;
7;8992907996772;SARI ROTI DORAYAKI STRAWBERRY;;;;;2;PCS;5.400;0;10.800;
8;8992907000806;SARI ROTI DORAYAKI PANDAN;;;;;4;PCS;5.400;0;21.600;
9;8992907000820;SARI ROTI WAFFLE;;;;;1;PCS;4.500;0;4.500;
1;111666;ROTI ADA BLUEBERRY;;;;;1;PCS;9.000;0;9.000;
1;0104;SNACK GREGET;;;;;7;PCS;7.500;0;52.500;
1;0298;SNACK BAPER;;;;;10;PCS;2.000;0;20.000;
1;02111221111;KERIPIK BAWANG BESAR BR;;;;;1;PCS;12.000;0;12.000;
1;8992907996758;SARI ROTI SANDWICH ZUPERR MOCHA;;;;;1;PCS;4.500;0;4.500;
2;8992907000813;SARI ROTI SANDWICH ZUPER STRAW;;;;;1;PCS;4.500;0;4.500;
3;8992907000561;SARI ROTI KRIM ZUPER STRAW;;;;;1;PCS;4.500;0;4.500;
4;8992907996772;SARI ROTI DORAYAKI STRAWBERRY;;;;;1;PCS;5.400;0;5.400;
5;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;2;PCS;5.400;0;10.800;
6;8992907000806;SARI ROTI DORAYAKI PANDAN;;;;;2;PCS;5.400;0;10.800;
7;8992907000806;SARI ROTI DORAYAKI PANDAN;;;;;1;PCS;5.400;0;5.400;
1;1122211122;SNACK LANGGENG;;;;;10;PCS;18.000;0;180.000;
1;1107928104113;LAMOR PARFUME ROLL ON;;;;;22;PCS;10.000;0;220.000;
2;1107928109200;LAMOR PARFUME SPRAY 30ML;;;;;14;PCS;22.000;0;308.000;
1;0369;KRUPUK RDN BESAR;;;;;4;PCS;4.000;0;16.000;
2;875692692150;KRUPUK RDN KECIL;;;;;3;PCS;1.600;0;4.800;
1;01112211222;SNACK SUCIFOODS 2500;;;;;3;PCS;1.700;0;5.100;
1;0453;BROWNIES BUMI RASA;;;;;1;PCS;5.000;0;5.000;
1;8992907953287;SARI ROTI TAWAR KUPAS JUMBO;;;;;1;PCS;18.500;0;18.500;
1;8993176110067;MKP LANG 120ML;;;;;3;PCS;37.000;0;111.000;
1;02222001;SNACK MAKARONI DLL BR 5000;;;;;5;PCS;4.000;0;20.000;
1;8996196226855;C9 CRUNCHY COK 10 S;;;;;1;PCS;7.919;0;7.919;
1;8992907953287;SARI ROTI TAWAR KUPAS JUMBO;;;;;1;PCS;18.500;0;18.500;
2;8992907000813;SARI ROTI SANDWICH ZUPER STRAW;;;;;1;PCS;4.500;0;4.500;
3;8992907000868;SARI ROTI ISI KELAPA;;;;;1;PCS;3.600;0;3.600;
4;8992907996772;SARI ROTI DORAYAKI STRAWBERRY;;;;;1;PCS;5.400;0;5.400;
5;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;3;PCS;5.400;0;16.200;
6;8992907750015;SARI ROTI SISIR MENTEGA;;;;;1;PCS;9.900;0;9.900;
7;8992907740016;SARI ROTI SOBEK COKLAT STROBERI;;;;;1;PCS;16.200;0;16.200;
1;02111221111;KERIPIK BAWANG BESAR BR;;;;;4;PCS;12.000;0;48.000;
2;02211111;KERIPIK BAWANG KECIL BR;;;;;1;PCS;5.000;0;5.000;
1;08999;KOPI SUSU GULA AREN REKANSETIA;;;;;3;PCS;13.000;0;39.000;
1;8994596;YOGHURT MAMAZY 250ML;;;;;7;PCS;8.000;0;56.000;
1;08;KIMBO SOSIS;;;;;18;PCS;779;0;14.022;
2;749921011619;NUTRISARI BELIMBING SC;;;;;6;PCS;1.137;0;6.822;
1;7622202217630;RITZ CHEESE 91 GR;;;;;36;PCS;7.056;0;254.016;
1;8994907001326;HEINZ MEX 325G;;;;;1;PCS;16.734;0;16.734;
2;8994907001319;HEINZ INDONESIAN CHILI SOUCE 325G;;;;;1;PCS;16.583;0;16.583;
1;8935001723769;CHUPA CHUP LOLIPOP;;;;;1;PCS;1.400;0;1.400;
2;8999777026370;HANSAPLAST SC;;;;;100;PCS;283;0;28.300;
3;8992858527308;HYDRO COCO 250ML;;;;;1;PCS;5.994;0;5.994;
4;8997009781585;HYDRO VIT-D 330ML;;;;;1;PCS;8.714;0;8.714;
1;8992907997328;SARI ROTI DORAYAKI MARTABAK;;;;;1;PCS;5.400;0;5.400;